Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
27/08/2024,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Ipsos (Market Research) Ltd,587252,"£80,775.00",Dsit - Trigs - Itu & Internet Governance - Admin-marketing And Media,E1w 1yw,Vendor
15/08/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Open Data Institute (Odi),615738,"£135,629.00","Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
30/08/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Ordnance Survey Ltd,617828,"£50,375.00",Dsit - Knowledge Asset Strengthening Programme (Kasp)-R&D Current Grants To Public Corporations,So16 0as,Wga Only
20/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,612800,"£120,000.00",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
06/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Parallel Wireless Uk Ltd,613681,"£229,194.28",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Gu47 0qa,Grant
12/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,614923,"£219,414.88",Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
14/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Tv Group Ltd,615342,"£243,845.48",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Se1 7tp,Grant
15/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,615683,"£370,388.95",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
15/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telefonica Uk Ltd,615715,"£234,335.66",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Rg2 6uu,Vendor
15/08/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telefonica Uk Ltd,615767,"£119,291.51",Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Rg2 6uu,Vendor
16/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,616274,"£1,454,634.28",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
20/08/2024,Audit Fees (External),Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Bdo Llp,616806,"£52,250.00",Dsit - Diversification Strategy Prog-audit Fees (External),Rh6 Opa,Vendor
20/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,616824,"£120,000.00",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
21/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,616837,"£937,640.81",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
21/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nec Europe Ltd,616962,"£377,577.01",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ha4 6qe,Grant
22/08/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Sunderland City Council,617139,"£75,209.66",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Sr1 3aa,Wga Only
27/08/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dorset Council,617614,"£195,605.96",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Dt1 1xj,Vendor
28/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Durham T/A Durham University,617945,"£214,171.28",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Dh1 3le,Vendor
28/08/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,617957,"£1,273,437.70",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,612145,"£10,000,000.00",Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uh,Wga Only
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,612147,"£387,000,000.00",Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,612150,"£2,400,000.00",Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,612152,"£19,000,000.00",Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,612153,"£125,000,000.00",Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
01/08/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,612154,"£225,000,000.00",Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
01/08/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,612834,"£10,000,000.00",Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
21/08/2024,Training And Development Expenditure,Dsit - Corporate Services - Dsit - Commercial,Cabinet Office,616270,"£26,000.00",Dsit - Corporate Services Admin-training And Development Expenditure,Fy1 9jn,Wga Only
07/08/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),610624,"£2,269,181.38",Dsit - Devolved Admin-other Services,Sw1h 0et,Wga Only
30/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),618334,"£50,208.29",Dsit - Devolved Admin-business Rates,Sw1h 0et,Wga Only
30/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),618334,"£278,422.52",Dsit - Cs Transition Costs Admin-business Rates,Sw1h 0et,Wga Only
30/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),618334,"£4,299,362.63",Dsit - Devolved Admin-business Rates,Sw1h 0et,Wga Only
13/08/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,615055,"£47,233.00",Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
27/08/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,617380,"£43,200.00",Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
27/08/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,617381,"£36,365.00",Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
27/08/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,617382,"£53,852.50",Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
20/08/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Informa Telecoms And Media Ltd,616713,"£49,200.00",Dsit - Diat Programme-consultancy Expenditure,Sw1p 1wg,Vendor
19/08/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Barclays Bank Uk Plc (Eagle Labs),616568,"£1,277,722.36",Dsit - Digital Growth Grant-current Grants To Private Sector - Npish,E14 5hp,Vendor
09/08/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,613070,"£1,460,000.00",Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
08/08/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Government Communications Headquarters (Gchq),613911,"£134,609.29",Dsit - Trigs - Itu & Internet Governance - Programme-consultancy Expenditure,Gl51 0ex,Vendor
16/08/2024,Marketing And Media,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Technopolis Ltd,585430,"£33,810.00",Dsit - Devolved Admin-marketing And Media,Bn1 1ee,Vendor
12/08/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ipsos (Market Research) Ltd,606729,"£84,940.00",Dsit - Sig Strategic Analysis And Economic Research-r & D Research And Development Expenditure,E1w 1yw,Vendor
07/08/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,597159,"£99,654.90",Dsit - Matrix Admin-uksbs - Service Costs,Sn2 1ff,Vendor
15/08/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,597161,"£95,126.69",Dsit - Corporate Services Admin-uksbs - Service Costs,Sn2 1ff,Vendor
07/08/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,611026,"£206,174.03",Dsit - Matrix Admin-uksbs - Service Costs,Sn2 1ff,Vendor
13/08/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,611061,"£373,453.87",Dsit - Matrix Admin-uksbs - Service Costs,Sn2 1ff,Vendor
07/08/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,611705,"£321,199.10",Dsit - Matrix Admin-uksbs - Service Costs,Np10 8qq,Vendor
01/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,612871,"£38,400.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
01/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,612873,"£80,820.00",Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
01/08/2024,Consultancy Expenditure,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,612876,"£27,000.00",Dsit - Corporate Services Admin-consultancy Expenditure,E1 1ew,Vendor
19/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Matrix Directorate,Ministry Of Justice,613055,"£30,753.43",Dsit - Matrix Admin-business Rates,Np20 9bb,Wga Only
02/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613103,"£56,580.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
02/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613112,"£42,090.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
02/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613114,"£46,920.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
14/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,613386,"£25,200.00",Dsit - Corporate Services Admin-other Professional Services,Ec2m 2qs,Vendor
14/08/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,613682,"£40,451.60",Dsit - Matrix Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
13/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613719,"£39,960.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
13/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613721,"£58,290.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
13/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613722,"£165,240.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
13/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,613723,"£59,340.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
09/08/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,614575,"£61,562.00",Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
19/08/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Kpmg Llp,616363,"£214,049.93",Dsit - Matrix Admin-other Professional Services,Wd17 1de,Vendor
